"continent","country","state","country code","state code","Status"
"Africa","Egypt","","EG","","Present, widespread"
"Africa","Libya","","LY","","Present, no details"
"Africa","Mauritius","","MU","","Present, no details"
"Africa","Reunion","","RE","","Present, restricted distribution"
"Africa","Sudan","","SD","","Present, widespread"
"America","United States of America","","US","","Absent, pest eradicated"
"Asia","Bangladesh","","BD","","Present, no details"
"Asia","Bhutan","","BT","","Present, no details"
"Asia","India","","IN","","Present, widespread"
"Asia","Iran","","IR","","Present, restricted distribution"
"Asia","Iraq","","IQ","","Present, restricted distribution"
"Asia","Israel","","IL","","Present, few occurrences"
"Asia","Lao People's Democratic Republic","","LA","","Present, no details"
"Asia","Myanmar","","MM","","Present, no details"
"Asia","Nepal","","NP","","Present, no details"
"Asia","Oman","","OM","","Present, no details"
"Asia","Pakistan","","PK","","Present, no details"
"Asia","Saudi Arabia","","SA","","Present, restricted distribution"
"Asia","Sri Lanka","","LK","","Present, no details"
"Asia","Thailand","","TH","","Present, no details"
"Asia","United Arab Emirates","","AE","","Present, no details"
"Asia","Vietnam","","VN","","Present, no details"
"Asia","Yemen","","YE","","Present, no details"
"Europe","Austria","","AT","","Absent, confirmed by survey"
"Europe","France","","FR","","Transient"
"Europe","Greece","","GR","","Transient"
"Europe","Italy","","IT","","Transient"
"Europe","Netherlands","","NL","","Absent, no pest record"
"Europe","Slovenia","","SI","","Absent, no pest record"
"Oceania","New Zealand","","NZ","","Absent, confirmed by survey"
