"continent","country","state","country code","state code","Status"
"America","Bahamas","","BS","","Present, no details"
"America","Brazil","","BR","","Absent, unreliable record"
"America","Cayman Islands","","KY","","Present, no details"
"America","Cuba","","CU","","Present, no details"
"America","Dominican Republic","","DO","","Present, no details"
"America","French Guiana","","GF","","Absent, unreliable record"
"America","Haiti","","HT","","Present, no details"
"America","Jamaica","","JM","","Present, no details"
"America","Puerto Rico","","PR","","Present, no details"
"America","United States of America","","US","","Present, restricted distribution"
"America","United States of America","California","US","CA","Absent, pest no longer present"
"America","United States of America","Florida","US","FL","Present, no details"
"America","Virgin Islands (British)","","VG","","Present, no details"
"Europe","Netherlands","","NL","","Absent, no pest record"
"Europe","Slovenia","","SI","","Absent, no pest record"
